ROW,STRATA_ID,SLOPE_CAT,LU_CAT,SLOPE_RANGE,ENV_RANGE,LU_RANGE,clc_level3,clc_level2,clc_level1,LEVEL_LU,ENV_CAT_CODE,ENV_CAT,LULUCF_CODE,LULUCF_DESCRIPTION,LULUCF_CODE_L2,LULUCF_DESCRIPTION_L2
1,1,FLAT,Artificial_surfaces,"[0, 15]",1,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
2,1,FLAT,Artificial_surfaces,"[0, 15]",1,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
3,1,FLAT,Artificial_surfaces,"[0, 15]",1,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
4,1,FLAT,Artificial_surfaces,"[0, 15]",1,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
5,1,FLAT,Artificial_surfaces,"[0, 15]",1,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
6,1,FLAT,Artificial_surfaces,"[0, 15]",1,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
7,1,FLAT,Artificial_surfaces,"[0, 15]",1,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
8,1,FLAT,Artificial_surfaces,"[0, 15]",1,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
9,1,FLAT,Artificial_surfaces,"[0, 15]",1,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
10,1,FLAT,Artificial_surfaces,"[0, 15]",1,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
11,1,FLAT,Artificial_surfaces,"[0, 15]",1,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
12,2,FLAT,Non_irrigated_arable_land,"[0, 15]",1,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,ACL,Arable cropland
13,3,FLAT,Permanently_irrigated_arable_land,"[0, 15]",1,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,ACL,Arable cropland
14,4,FLAT,Rice_fields,"[0, 15]",1,213,Rice fields,Arable land,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,ACL,Arable cropland
15,5,FLAT,Permanent_crops,"[0, 15]",1,221,Vineyards,Permanent crops,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,PCL,Permanent cropland
16,5,FLAT,Permanent_crops,"[0, 15]",1,222,Fruit trees and berry plantations,Permanent crops,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,PCL,Permanent cropland
17,5,FLAT,Permanent_crops,"[0, 15]",1,223,Olive groves,Permanent crops,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,PCL,Permanent cropland
18,6,FLAT,Pasture,"[0, 15]",1,231,Pastures,Pastures,Agricultural areas,SOC_classif,ALN,Alpine_north,GL,Grassland,GL,Grassland
19,7,FLAT,Heterogeneous_agro,"[0, 15]",1,241,Annual crops associated with permanent crops,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,ACL,Arable cropland
20,7,FLAT,Heterogeneous_agro,"[0, 15]",1,242,Complex cultivation patterns,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,ACL,Arable cropland
21,7,FLAT,Heterogeneous_agro,"[0, 15]",1,243,Agriculture mosaics with significant natural vegetation,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,ACL,Arable cropland
22,7,FLAT,Heterogeneous_agro,"[0, 15]",1,244,Agro-forestry areas,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALN,Alpine_north,CL,Cropland,AFCL,Agroforestry cropland
23,8,FLAT,Broadleaved_forest,"[0, 15]",1,311,Broad-leaved forest,Forests,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,FL,Forest land,FL,Forest land
24,9,FLAT,Coniferous_forest,"[0, 15]",1,312,Coniferous forest,Forests,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,FL,Forest land,FL,Forest land
25,10,FLAT,Mixed_forest,"[0, 15]",1,313,Mixed forest,Forests,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,FL,Forest land,FL,Forest land
26,11,FLAT,Natural_grassland,"[0, 15]",1,321,Natural grasslands,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,GL,Grassland,GL,Grassland
27,12,FLAT,Moors_heathland,"[0, 15]",1,322,Moors and heathland,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,GL,Grassland,GL,Grassland
28,13,FLAT,Sclerophyllous_veg,"[0, 15]",1,323,Sclerophyllous vegetation,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,GL,Grassland,GL,Grassland
29,14,FLAT,Transitional_woodland_shrub,"[0, 15]",1,324,Transitional woodland-shrub,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,FL,Forest land,FL,Forest land
30,15,FLAT,Open_spaces_little_no_veg,"[0, 15]",1,331,"Beaches, dunes and sand plains",Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,OL,Other land,OL,Other land
31,15,FLAT,Open_spaces_little_no_veg,"[0, 15]",1,332,Bare rocks,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,OL,Other land,OL,Other land
32,15,FLAT,Open_spaces_little_no_veg,"[0, 15]",1,333,Sparsely vegetated areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,OL,Other land,OL,Other land
33,15,FLAT,Open_spaces_little_no_veg,"[0, 15]",1,334,Burnt areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,FL,Forest land,FL,Forest land
34,15,FLAT,Open_spaces_little_no_veg,"[0, 15]",1,335,Glaciers and perpetual snow,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALN,Alpine_north,OL,Other land,OL,Other land
35,16,FLAT,Wetlands,"[0, 15]",1,411,Inland marshes,Inland wetlands,Wetlands,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
36,16,FLAT,Wetlands,"[0, 15]",1,412,Peat bogs,Inland wetlands,Wetlands,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
37,16,FLAT,Wetlands,"[0, 15]",1,421,Salt marshes,Coastal wetlands,Wetlands,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
